X,INV,HGL
270,11.35,16.3685
271,11.355,16.3735
272,11.36,16.3785
273,11.365,16.3835
274,11.37,16.3885
275,11.375,16.3935
276,11.38,16.3985
277,11.385,16.4035
278,11.39,16.4085
279,11.395,16.4135
280,11.4,16.4185
281,11.405,16.4235
282,11.41,16.4285
283,11.415,16.4335
284,11.42,16.4385
285,11.425,16.4435
286,11.43,16.4485
287,11.435,16.4535
288,11.44,16.4585
289,11.445,16.4635
290,11.45,16.4685
291,11.455,16.4735
292,11.46,16.4785
293,11.465,16.4835
294,11.47,16.4885
295,11.475,16.4935
296,11.48,16.4985
297,11.485,16.5035
298,11.49,16.5085
299,11.495,16.5135
300,11.5,16.5185
301,11.5,16.5235
302,11.5,16.5235
303,11.5,16.5235
304,11.5,16.5235
305,11.5,16.5235
306,11.5,16.5235
307,11.5,16.5235
308,11.5,16.5235
309,11.5,16.5235
310,11.5,16.5235
311,11.5,16.5235
312,11.5,16.5235
313,11.5,16.5235
314,11.5,16.5235
315,11.5,16.5235
316,11.5,16.5235
317,11.5,16.5235
318,11.5,16.5235
319,11.5,16.5235
320,11.5,16.5235
321,11.5,16.5235
322,11.5,16.5235
323,11.5,16.5235
324,11.5,16.5235
325,11.5,16.5235
326,11.5,16.5235
327,11.5,16.5235
328,11.5,16.5235
329,11.5,16.5235
330,11.5,16.5235
331,11.5,16.5235
332,11.5,16.5235
333,11.5,16.5235
334,11.5,16.5235
335,11.5,16.5235
336,11.5,16.5235
337,11.5,16.5235
338,11.5,16.5235
339,11.5,16.5235
340,11.5,16.5235
341,11.5,16.5235
342,11.5,16.5235
343,11.5,16.5235
344,11.5,16.5235
345,11.5,16.5235
346,11.5,16.5235
347,11.5,16.5235
348,11.5,16.5235
349,11.5,16.5235
350,11.5,16.5235
351,11.5,16.5235
352,11.5,16.5235
353,11.5,16.5235
354,11.5,16.5235
355,11.5,16.5235
356,11.5,16.5235
357,11.5,16.5235
358,11.5,16.5235
359,11.5,16.5235
360,11.5,16.5235
361,11.5,16.5235
362,11.5,16.5235
363,11.5,16.5235
364,11.5,16.5235
365,11.5,16.5235
366,11.5,16.5235
367,11.5,16.5235
368,11.5,16.5235
369,11.5,16.5235
370,11.5,16.5235
371,11.5,16.5235
372,11.5,16.5235
373,11.5,16.5235
374,11.5,16.5235
375,11.5,16.5235
376,11.5,16.5235
377,11.5,16.5235
378,11.5,16.5235
379,11.5,16.5235
380,11.5,16.5235
381,11.5,16.5235
382,11.5,16.5235
383,11.5,16.5235
384,11.5,16.5235
385,11.5,16.5235
386,11.5,16.5235
387,11.5,16.5235
388,11.5,16.5235
389,11.5,16.5235
390,11.5,16.5235
391,11.5,16.5235
392,11.5,16.5235
393,11.5,16.5235
394,11.5,16.5235
395,11.5,16.5235
396,11.5,16.5235
397,11.5,16.5235
398,11.5,16.5235
399,11.5,16.5235
400,11.5,16.5235
401,11.545,16.5461
402,11.59,16.5504
403,11.635,14.7857
600,32,36.9477
599,31.84,36.5859
598,31.68,36.2862
597,31.52,35.987
596,31.36,35.6884
595,31.2,35.3909
594,31.04,35.0947
593,30.88,34.8
592,30.72,34.5073
591,30.56,34.217
590,30.4,33.9293
589,30.24,33.6448
588,30.08,33.364
587,29.92,33.0875
586,29.76,32.8159
585,29.6,32.5499
584,29.44,32.2901
583,29.28,32.0371
582,29.12,31.7916
581,28.96,31.554
580,28.8,31.3246
579,28.64,31.1035
578,28.48,30.8906
577,28.32,30.6854
576,28.16,30.4875
575,28,30.2961
574,27.84,30.1105
573,27.68,29.9298
572,27.52,29.7532
571,27.36,29.58
570,27.2,29.4096
569,27.04,29.2415
568,26.88,29.0752
567,26.72,28.9102
566,26.56,28.7464
565,26.4,28.5834
564,26.24,28.4211
563,26.08,28.2594
562,25.92,28.098
561,25.76,27.937
560,25.6,27.7762
559,25.44,27.6155
558,25.28,27.4551
557,25.12,27.2947
556,24.96,27.1344
555,24.8,26.9742
554,24.64,26.814
553,24.48,26.6539
552,24.32,26.4938
551,24.16,26.3337
550,24,26.1737
549,23.84,26.0136
548,23.68,25.8536
547,23.52,25.6936
546,23.36,25.5336
545,23.2,25.3735
544,23.04,25.2135
543,22.88,25.0535
542,22.72,24.8935
541,22.56,24.7335
540,22.4,24.5735
539,22.24,24.4135
538,22.08,24.2535
537,21.92,24.0935
536,21.76,23.9335
535,21.6,23.7735
534,21.44,23.6135
533,21.28,23.4535
532,21.12,23.2935
531,20.96,23.1335
530,20.8,22.9735
529,20.64,22.8135
528,20.48,22.6535
