X,HGL
8.24,0.508431
8.25,0.508484
8.26,0.508538
8.27,0.508591
8.28,0.508645
8.29,0.508699
8.3,0.508752
8.31,0.508806
8.32,0.508859
8.33,0.508912
8.34,0.508966
8.35,0.509019
8.36,0.509072
8.37,0.509126
8.38,0.509179
8.39,0.509232
8.4,0.509285
8.41,0.509338
8.42,0.509392
8.43,0.509445
8.44,0.509498
8.45,0.509551
8.46,0.509604
8.47,0.509657
8.48,0.50971
8.49,0.509762
8.5,0.509815
8.51,0.509868
8.52,0.509921
8.53,0.509974
8.54,0.510026
8.55,0.510079
8.56,0.510132
8.57,0.510184
8.58,0.510237
8.59,0.510289
8.6,0.510342
8.61,0.510394
8.62,0.510447
8.63,0.510499
8.64,0.510552
8.65,0.510604
8.66,0.510656
8.67,0.510709
8.68,0.510761
8.69,0.510813
8.7,0.510865
8.71,0.510917
8.72,0.51097
8.73,0.511022
8.74,0.511074
8.75,0.511126
8.76,0.511178
8.77,0.51123
8.78,0.511282
8.79,0.511334
8.8,0.511386
8.81,0.511437
8.82,0.511489
8.83,0.511541
8.84,0.511593
8.85,0.511644
8.86,0.511696
8.87,0.511748
8.88,0.511799
8.89,0.511851
8.9,0.511903
8.91,0.511954
8.92,0.512006
8.93,0.512057
8.94,0.512109
8.95,0.51216
8.96,0.512211
8.97,0.512263
8.98,0.512314
8.99,0.512366
9,0.512417
9.01,0.512468
9.02,0.512519
9.03,0.51257
9.04,0.512622
9.05,0.512673
9.06,0.512724
9.07,0.512775
9.08,0.512826
9.09,0.512877
9.1,0.512928
9.11,0.512979
9.12,0.51303
9.13,0.513081
9.14,0.513132
9.15,0.513182
9.16,0.513233
9.17,0.513284
9.18,0.513335
9.19,0.513385
9.2,0.513436
9.21,0.513487
9.22,0.513537
9.23,0.513588
9.24,0.513639
9.25,0.513689
9.26,0.51374
9.27,0.51379
9.28,0.513841
9.29,0.513891
9.3,0.513941
9.31,0.513992
9.32,0.514042
9.33,0.514092
9.34,0.514143
9.35,0.514193
9.36,0.514243
9.37,0.514293
9.38,0.514344
9.39,0.514394
9.4,0.514444
9.41,0.514494
9.42,0.514544
9.43,0.514594
9.44,0.514644
9.45,0.514694
9.46,0.514744
9.47,0.514794
9.48,0.514844
9.49,0.514894
9.5,0.514943
9.51,0.514993
9.52,0.515043
9.53,0.515093
9.54,0.515143
9.55,0.515192
9.56,0.515242
9.57,0.515292
9.58,0.515341
9.59,0.515391
9.6,0.51544
9.61,0.51549
9.62,0.515539
9.63,0.515589
9.64,0.515638
9.65,0.515688
9.66,0.515737
9.67,0.515787
9.68,0.515836
9.69,0.515885
9.7,0.515935
9.71,0.515984
9.72,0.516033
9.73,0.516082
9.74,0.516131
9.75,0.516181
9.76,0.51623
9.77,0.516279
9.78,0.516328
9.79,0.516377
9.8,0.516426
9.81,0.516475
9.82,0.516524
9.83,0.516573
9.84,0.516622
9.85,0.516671
9.86,0.51672
9.87,0.516769
9.88,0.516817
9.89,0.516866
9.9,0.516915
9.91,0.516964
9.92,0.517012
9.93,0.517061
9.94,0.51711
9.95,0.517158
9.96,0.517207
9.97,0.517256
9.98,0.517304
9.99,0.517353
10,0.517401
10.01,0.51745
10.02,0.517498
10.03,0.517547
10.04,0.517595
10.05,0.517644
10.06,0.517692
10.07,0.51774
10.08,0.517789
10.09,0.517837
10.1,0.517885
10.11,0.517933
10.12,0.517982
10.13,0.51803
10.14,0.518078
10.15,0.518126
10.16,0.518174
10.17,0.518222
10.18,0.51827
10.19,0.518318
10.2,0.518366
10.21,0.518414
10.22,0.518462
10.23,0.51851
10.24,0.518558
10.25,0.518606
10.26,0.518654
10.27,0.518702
10.28,0.51875
10.29,0.518798
10.3,0.518845
10.31,0.518893
10.32,0.518941
10.33,0.518989
10.34,0.519036
10.35,0.519084
10.36,0.519131
10.37,0.519179
10.38,0.519227
10.39,0.519274
10.4,0.519322
10.41,0.519369
10.42,0.519417
10.43,0.519464
10.44,0.519512
10.45,0.519559
10.46,0.519606
10.47,0.519654
10.48,0.519701
10.49,0.519749
10.5,0.519796
10.51,0.519843
10.52,0.51989
10.53,0.519938
10.54,0.519985
10.55,0.520032
10.56,0.520079
10.57,0.520126
10.58,0.520173
10.59,0.52022
10.6,0.520268
10.61,0.520315
10.62,0.520362
10.63,0.520409
10.64,0.520456
10.65,0.520502
10.66,0.520549
10.67,0.520596
10.68,0.520643
10.69,0.52069
10.7,0.520737
10.71,0.520784
10.72,0.520831
10.73,0.520877
10.74,0.520924
10.75,0.520971
10.76,0.521017
10.77,0.521064
10.78,0.521111
10.79,0.521157
10.8,0.521204
10.81,0.521251
10.82,0.521297
10.83,0.521344
10.84,0.52139
10.85,0.521437
10.86,0.521483
10.87,0.52153
10.88,0.521576
10.89,0.521622
10.9,0.521669
10.91,0.521715
10.92,0.521762
10.93,0.521808
10.94,0.521854
10.95,0.5219
10.96,0.521947
10.97,0.521993
10.98,0.522039
10.99,0.522085
11,0.522132
11.01,0.522178
11.02,0.522224
11.03,0.52227
11.04,0.522316
11.05,0.522362
11.06,0.522408
11.07,0.522454
11.08,0.5225
11.09,0.522546
11.1,0.522592
11.11,0.522638
11.12,0.522684
11.13,0.52273
11.14,0.522776
11.15,0.522821
11.16,0.522867
11.17,0.522913
11.18,0.522959
11.19,0.523005
11.2,0.52305
11.21,0.523096
11.22,0.523142
11.23,0.523187
11.24,0.523233
11.25,0.523279
11.26,0.523324
11.27,0.52337
11.28,0.523415
11.29,0.523461
11.3,0.523507
11.31,0.523552
11.32,0.523597
11.33,0.523643
11.34,0.523688
11.35,0.523734
11.36,0.523779
11.37,0.523825
11.38,0.52387
11.39,0.523915
11.4,0.523961
11.41,0.524006
11.42,0.524051
11.43,0.524096
11.44,0.524142
11.45,0.524187
11.46,0.524232
11.47,0.524277
11.48,0.524322
11.49,0.524368
11.5,0.524413
11.51,0.524458
11.52,0.524503
11.53,0.524548
11.54,0.524593
11.55,0.524638
11.56,0.524683
11.57,0.524728
11.58,0.524773
11.59,0.524818
11.6,0.524863
11.61,0.524908
11.62,0.524952
11.63,0.524997
11.64,0.525042
11.65,0.525087
11.66,0.525132
11.67,0.525176
11.68,0.525221
11.69,0.525266
11.7,0.525311
11.71,0.525355
11.72,0.5254
11.73,0.525445
11.74,0.525489
11.75,0.525534
11.76,0.525578
11.77,0.525623
11.78,0.525668
11.79,0.525712
11.8,0.525757
11.81,0.525801
11.82,0.525846
11.83,0.52589
11.84,0.525935
11.85,0.525979
11.86,0.526023
11.87,0.526068
11.88,0.526112
11.89,0.526156
11.9,0.526201
11.91,0.526245
